date,raw_value,cost_adjusted_value
2026-03-11,105795.98,105560.28464793836
2026-03-12,105022.04,104784.45742935172
2026-03-13,105057.57,104804.97583952964
2026-03-17,105025.33,104772.25071148894
2026-03-18,104647.55,104394.47071148896
2026-03-19,104013.67,103756.25664032424
2026-03-20,103922.02,103662.55026010332
2026-03-24,103754.4,103493.05137608763
2026-03-25,103817.53,103555.09521828004
2026-03-26,103852.52,103589.14592524475
2026-03-27,103944.51,103679.56943676234
2026-04-01,104096.91,103830.61084898416
2026-04-02,104081.23,103813.9768195629
2026-04-07,104384.45,104089.84321583364
2026-04-08,105820.21,105525.60321583366
2026-04-09,105971.57,105672.67368749484
2026-04-10,105596.22,105294.52419596932
2026-04-14,108280.14,107978.44419596932
2026-04-15,109264.93,108963.23419596931
2026-04-16,109461.96,109160.26419596931
2026-04-17,110731.81,110425.91742820952
2026-04-21,110175.29,109869.39742820952
2026-04-22,111061.09,110753.5420527748
2026-04-23,109917.75,109607.98852987152
2026-04-24,110323.5,110013.73852987152
2026-04-28,109670.21,109360.44852987152
2026-04-29,109347.55,109037.78852987153
2026-04-30,110142.68,109832.10608233532
2026-05-01,110484.17,110173.59608233534
2026-05-05,111077.66,110757.26611739196
2026-05-06,111817.12,111496.72611739195
2026-05-07,111657.36,111332.11422613176
2026-05-08,111734.88,111409.63422613178
2026-05-21,111607.65,111282.40422613177
2026-05-22,111608.81,111283.56422613176
2026-05-26,111710.39,111384.35076174726
2026-05-27,111745.44,111419.40076174728
2026-05-28,111906.93,111580.89076174726
2026-05-29,111956.48,111629.00476022404
2026-06-02,112169.74,111826.1293445128
2026-06-03,111976.53,111632.9193445128
2026-06-04,111798.5,111443.73462037423
2026-06-05,110956.64,110600.7221647205
2026-06-09,110855.27,110499.17068195056
2026-06-10,111052.58,110696.48068195056
